Metric,ResNet18_CNN,RandomForest
Accuracy,0.9207664422578975,0.9590885551527706
Precision,0.9647435897435898,0.9692118226600985
Recall,0.9388646288209607,0.9819089207735496
F1-Score,0.9516282010749288,0.9755190579485591
ROC-AUC,0.957297102992864,0.9864954049571687
PR-AUC,0.9899550662222155,0.9970253993990053
